antecedents,consequents,support,confidence,lift
"IKE Negotiation Failure', 'Monitoring Device Maintenance Link Failure",Inter-System Communication Failure,0.012,0.349,2.27
"Cell Blocked', 'Remote Maintenance Link Failure', 'IKE Negotiation Failure",ALD Maintenance Link Failure,0.012,0.183,1.692
"eNodeB S1 Control Plane Transmission Interruption', 'Monitoring Device Maintenance Link Failure",Inter-System Communication Failure,0.012,0.375,2.44
"Cell Blocked', 'eNodeB S1 Control Plane Transmission Interruption",RF Unit VSWR Threshold Crossed,0.012,0.142,0.946
"eNodeB S1 Control Plane Transmission Interruption', 'RF Unit Maintenance Link Failure",Inter-System Communication Failure,0.012,0.263,1.713
"Cell Blocked', 'Cell RX Channel Interference Noise Power Unbalanced",ALD Maintenance Link Failure,0.012,0.273,2.522
"RF Unit Maintenance Link Failure', 'IKE Negotiation Failure",Ethernet Link Fault,0.012,0.246,1.49
"Cell Unavailable', 'IKE Negotiation Failure",ALD Maintenance Link Failure,0.012,0.097,0.895
"eNodeB S1 Control Plane Transmission Interruption', 'RF Unit Maintenance Link Failure",Ethernet Link Fault,0.012,0.263,1.595
"RF Unit Maintenance Link Failure', 'BBU CPRI Interface Error",Ethernet Link Fault,0.011,0.076,0.459
Remote Maintenance Link Failure,RF Unit CPRI Interface Error,0.011,0.037,1.392
"eNodeB S1 Control Plane Transmission Interruption', 'Cell Unavailable",ALD Maintenance Link Failure,0.011,0.093,0.863
"RF Unit VSWR Threshold Crossed', 'Cell Unavailable",ALD Maintenance Link Failure,0.011,0.23,2.123
"ALD Maintenance Link Failure', 'Cell Unavailable",RF Unit VSWR Threshold Crossed,0.011,0.326,2.176
"RF Unit Maintenance Link Failure', 'IKE Negotiation Failure",ALD Maintenance Link Failure,0.011,0.23,2.123
"Remote Maintenance Link Failure', 'eNodeB S1 Control Plane Transmission Interruption', 'Monitoring Device Maintenance Link Failure",Inter-System Communication Failure,0.011,0.56,3.644
"Remote Maintenance Link Failure', 'eNodeB S1 Control Plane Transmission Interruption', 'IKE Negotiation Failure",RF Unit VSWR Threshold Crossed,0.011,0.071,0.477
"RF Unit RX Channel RTWP/RSSI Too Low', 'BBU CPRI Interface Error",RF Unit VSWR Threshold Crossed,0.011,0.636,4.254
"RF Unit Maintenance Link Failure', 'BBU CPRI Interface Error",RF Unit CPRI Interface Error,0.011,0.076,2.821
BBU CPRI Interface Error,Ethernet Link Fault,0.011,0.062,0.374
"Remote Maintenance Link Failure', 'IKE Negotiation Failure', 'Monitoring Device Maintenance Link Failure",Inter-System Communication Failure,0.011,0.483,3.142
"Cell Blocked', 'Cell Unavailable', 'RF Unit Maintenance Link Failure', 'BBU CPRI Interface Error",ALD Maintenance Link Failure,0.011,0.222,2.055
"Cell RX Channel Interference Noise Power Unbalanced', 'Cell Unavailable",RF Unit VSWR Threshold Crossed,0.011,0.215,1.44
"Remote Maintenance Link Failure', 'IKE Negotiation Failure",RF Out of Service,0.011,0.055,0.834
"Remote Maintenance Link Failure', 'RF Unit Maintenance Link Failure",Ethernet Link Fault,0.011,0.209,1.266
"RF Unit ALD Current Out of Range', 'IKE Negotiation Failure",RF Unit VSWR Threshold Crossed,0.011,0.298,1.991
"Cell Blocked', 'RF Unit Maintenance Link Failure",Ethernet Link Fault,0.011,0.089,0.537
"eNodeB S1 Control Plane Transmission Interruption', 'RF Unit Maintenance Link Failure",RF Out of Service,0.011,0.246,3.73
"Cell Blocked', 'eNodeB S1 Control Plane Transmission Interruption",RF Out of Service,0.011,0.132,2.006
"Cell Blocked', 'Cell Unavailable', 'BBU CPRI Interface Error",ALD Maintenance Link Failure,0.011,0.203,1.876
"Cell Blocked', 'IKE Negotiation Failure",RF Out of Service,0.011,0.104,1.575
"Remote Maintenance Link Failure', 'S1 Interface Fault",Inter-System Communication Failure,0.011,0.35,2.278
"Cell Blocked', 'RF Unit Maintenance Link Failure",RF Unit CPRI Interface Error,0.011,0.089,3.303
"IKE Negotiation Failure', 'Monitoring Device Maintenance Link Failure",Ethernet Link Fault,0.011,0.326,1.973
"eNodeB S1 Control Plane Transmission Interruption', 'RF Unit ALD Current Out of Range', 'IKE Negotiation Failure",ALD Maintenance Link Failure,0.011,0.412,3.808
"Cell Unavailable', 'IKE Negotiation Failure",RF Unit VSWR Threshold Crossed,0.011,0.09,0.604
"RF Unit ALD Current Out of Range', 'Cell Unavailable', 'BBU CPRI Interface Error",ALD Maintenance Link Failure,0.011,0.406,3.757
"Cell Blocked', 'eNodeB S1 Control Plane Transmission Interruption', 'Remote Maintenance Link Failure', 'IKE Negotiation Failure",ALD Maintenance Link Failure,0.011,0.206,1.908
"Remote Maintenance Link Failure', 'eNodeB S1 Control Plane Transmission Interruption', 'Cell Unavailable",ALD Maintenance Link Failure,0.011,0.106,0.977
